model_name,acc,css,css_err_low,css_err_high,target_foil_bias
resnetv2_101_a1h_in1k,0.6993055555555555,0.4361111111111111,0.0173697916666666,0.0194444444444444,0.8362449136201401
resnetv2_101x1_bit_goog_in21k_ft_in1k,0.6295138888888889,0.3506944444444444,0.018064236111111,0.0170138888888889,0.7934191130095676
resnetv2_50_a1h_in1k,0.6475694444444444,0.3638888888888889,0.0163281249999999,0.0173611111111111,0.8047169964928319
resnetv2_50x1_bit_goog_distilled_in1k,0.6690972222222222,0.3965277777777777,0.0177170138888888,0.0177083333333333,0.8179836320014126
resnetv2_50x1_bit_goog_in21k_ft_in1k,0.59375,0.2868055555555555,0.0156336805555555,0.0166753472222221,0.770551750371122
robust_resnet50_l2_eps_0,0.565625,0.2604166666666667,0.0152777777777778,0.0163281249999999,0.7520804478245662
robust_resnet50_l2_eps_0_01,0.5510416666666667,0.2354166666666666,0.0142361111111111,0.0149305555555555,0.7423218080230882
robust_resnet50_l2_eps_0_03,0.5503472222222222,0.2444444444444444,0.0163194444444444,0.015625,0.7418539089485356
robust_resnet50_l2_eps_0_05,0.5944444444444444,0.2930555555555555,0.0159809027777777,0.015625,0.7710022337480251
robust_resnet50_l2_eps_0_1,0.5295138888888888,0.2125,0.0132031249999999,0.0149392361111111,0.7276770498572076
robust_resnet50_l2_eps_0_25,0.596875,0.2847222222222222,0.0177170138888888,0.0166666666666666,0.7725768570181222
robust_resnet50_l2_eps_0_5,0.5819444444444445,0.2645833333333333,0.0159809027777777,0.0166666666666666,0.7628528327563872
robust_resnet50_l2_eps_1,0.4916666666666666,0.1729166666666666,0.0145833333333333,0.0131944444444444,0.7011894655987544
robust_resnet50_l2_eps_3,0.4871527777777777,0.1645833333333333,0.0152777777777777,0.0135503472222222,0.6979633068992794
robust_resnet50_l2_eps_5,0.5045138888888889,0.1888888888888888,0.0142361111111111,0.0145833333333333,0.7102914112453346
siglip2_256_vitb16_zeroshot,0.9239583333333332,0.8479166666666667,0.0128559027777778,0.0125,0.961227513824554
siglip2_256_vitl16_zeroshot,0.9357638888888888,0.8729166666666667,0.0118055555555555,0.0114583333333333,0.9673488971869916
siglip2_vitb16_zeroshot,0.9208333333333332,0.8444444444444444,0.0138975694444444,0.0121527777777777,0.959600611365652
siglip_256_vitb16_zeroshot,0.9052083333333332,0.8118055555555556,0.0142361111111111,0.0135503472222222,0.9514243707900976
siglip_256_vitl16_zeroshot,0.9197916666666668,0.8423611111111111,0.0131944444444443,0.0128559027777778,0.9590576972563571
siglip_vitb16_zeroshot,0.9079861111111112,0.8173611111111111,0.0152777777777777,0.0138888888888889,0.952883052169106
tf_efficientnet_b0_ns_jft_in1k,0.6993055555555555,0.4430555555555555,0.0173611111111111,0.0201388888888889,0.8362449136201401
topk_alexnet_40pct,0.2652777777777778,0.0513888888888888,0.0079861111111111,0.0079947916666666,0.5150512380120814
topk_alexnet_60pct,0.259375,0.0416666666666666,0.0072916666666666,0.0076388888888888,0.5092887196865841
topk_alexnet_80pct,0.2788194444444444,0.05,0.0073003472222222,0.0079861111111111,0.5280335637480296
topk_vgg16_40pct,0.4288194444444444,0.1125,0.0111111111111111,0.0121527777777777,0.6548430685625712
topk_vgg16_60pct,0.4701388888888889,0.1527777777777778,0.0131944444444444,0.0128472222222222,0.685666747690807
topk_vgg16_80pct,0.4607638888888888,0.1486111111111111,0.0135416666666666,0.0125,0.6787959110726057
vgg16_in1k_v1_397923af,0.4600694444444444,0.1479166666666666,0.0128645833333333,0.0135503472222222,0.6782841915041544
vgg16_in1k_v1_397923af_untrained,0.1177083333333333,0.0097222222222222,0.0034722222222222,0.0034722222222222,0.343086480837315
vgg_stylized,0.4944444444444444,0.1826388888888888,0.0138888888888888,0.0145920138888888,0.7031674369909662
vit_base_patch16_224_augreg_in1k,0.5829861111111111,0.2736111111111111,0.0159809027777778,0.0152777777777777,0.7635352716876354
vit_base_patch16_clip_224_openai_ft_in1k,0.7947916666666667,0.6034722222222222,0.0166666666666666,0.0173697916666667,0.8915108898194495
vit_base_patch32_clip_224_openai_ft_in1k,0.7052083333333333,0.4479166666666667,0.0173611111111111,0.0170138888888888,0.8397668327180666
vit_huge_patch14_clip_224_laion2b_ft_in12k_in1k,0.8972222222222223,0.7972222222222223,0.0145833333333333,0.0152777777777777,0.9472181492255216
vit_huge_patch14_clip_224_laion2b_ft_in1k,0.8805555555555555,0.7645833333333333,0.0159722222222221,0.0149305555555555,0.9383792173506164
vit_large_patch14_clip_224_openai_ft_in12k_in1k,0.8618055555555556,0.7270833333333333,0.0177083333333333,0.0159895833333333,0.9283348294422414
vit_large_patch14_clip_224_openai_ft_in1k,0.8809027777777778,0.7666666666666667,0.0152864583333334,0.0145920138888888,0.938564210791024
vit_small_patch16_224_augreg_in1k,0.6,0.2902777777777778,0.0159722222222222,0.0173611111111111,0.7745966692414834
vitb16_in1k,0.6798611111111111,0.4020833333333333,0.0177256944444444,0.018064236111111,0.8245369070642691
vitb32_in1k,0.6361111111111111,0.3375,0.0180555555555556,0.0163194444444444,0.7975657409336933
vitl16_in1k,0.6038194444444445,0.2868055555555555,0.0166666666666666,0.0170225694444444,0.777058198878594
vitl32_in1k,0.6833333333333333,0.4277777777777777,0.0177083333333333,0.0173611111111111,0.8266397845091497
